sample_idx,raw_prediction,raw_target,predicted_letter,correct_letter,is_correct,id,tid,question_type,difficulty,category,subcategory,relevant_concepts,answer_letter,answer_text,num_options
32,A),B) Random Walk,A,B,False,33,52,binary,hard,Noise Understanding,White Noise Recognition,"['Red Noise', 'Gaussian White Noise']",B,Random Walk,2
33,A),C) Linear,A,C,False,34,1,multiple_choice,easy,Pattern Recognition,Trend Recognition,"['Linear Trend', 'Exponential Trend']",C,Linear,3
34,A),B) Exponential trend and square wave,A,B,False,35,70,multiple_choice,hard,Anolmaly Detection,General Anomaly Detection,"['Linear Trend', 'Sine Wave', 'Exponential Trend', 'Square Wave', 'Log Trend', 'Sawtooth Wave', 'Cutoff Anomaly', 'Flip Anomaly']",B,Exponential trend and square wave,3
35,A),A) Linear,A,A,True,36,14,multiple_choice,medium,Pattern Recognition,Trend Recognition,"['Linear Trend', 'Exponential Trend']",A,Linear,3
36,A),B) 2.09,A,B,False,37,21,multiple-choice,easy,Pattern Recognition,Cycle Recognition,"['Sine Wave', 'Amplitude']",B,2.09,3
37,A),B) Time series 1 has higher slope,A,B,False,38,80,binary,easy,Similarity Analysis,Shape,"['Linear Trend', 'Exponential Trend', 'Sine Wave', 'Sawtooth Wave']",B,Time series 1 has higher slope,2
38,A),A) Negative autocorrelation around -0.8,A,A,True,39,45,multiple_choice,easy,Pattern Recognition,AR/MA recognition,['Autocorrelation'],A,Negative autocorrelation around -0.8,3
39,A),A) Time Series 1,A,A,True,40,48,multiple_choice,hard,Pattern Recognition,AR/MA recognition,"['AutoRegressive Process', 'Stationarity']",A,Time Series 1,2
40,A),C) 0,A,C,False,41,42,multiple_choice,hard,Pattern Recognition,First Two Moment Recognition,['Variance'],C,0,3
41,A),"C) No, they are not granger causal",A,C,False,42,101,binary,hard,Causality Analysis,Granger Causality,['Granger Causality'],C,"No, they are not granger causal",3
42,A),A) Yes,A,A,True,43,36,binary,hard,Pattern Recognition,Stationarity Detection,"['Stationarity', 'AutoRegressive Process', 'Linear Trend']",A,Yes,2
43,A),"A) No, they are not lagged versions",A,A,True,44,102,binary,hard,Causality Analysis,Granger Causality,['Lagged Pair'],A,"No, they are not lagged versions",2
44,A),B) Yes,A,B,False,45,12,binary,medium,Pattern Recognition,Trend Recognition,['Linear Trend'],B,Yes,2
45,A),"C) No, time series 1 has exponential trend and time series 2 has log trend",A,C,False,46,85,multiple_choice,hard,Similarity Analysis,Shape,"['Linear Trend', 'Exponential Trend', 'Log Trend']",C,"No, time series 1 has exponential trend and time series 2 has log trend",3
46,A),A) Yes,A,A,True,47,12,binary,medium,Pattern Recognition,Trend Recognition,['Linear Trend'],A,Yes,2
47,A),"C) No, time series 1 is a lagged version of time series 2",A,C,False,48,96,multiple_choice,easy,Causality Analysis,Granger Causality,['Lagged Pair'],C,"No, time series 1 is a lagged version of time series 2",3
48,A),B) 10.54,A,B,False,49,25,multiple-choice,hard,Pattern Recognition,Cycle Recognition,"['Sawtooth Wave', 'Square Wave', 'Period']",B,10.54,3
49,A),C) Sudden shift in trend direction,A,C,False,50,71,multiple_choice,hard,Anolmaly Detection,General Anomaly Detection,"['Linear Trend', 'Gaussian White Noise', 'Sine Wave']",C,Sudden shift in trend direction,3
50,A),"A) No, the anomaly is stationary (white noise)",A,A,True,51,69,binary,hard,Anolmaly Detection,General Anomaly Detection,"['Stationarity', 'Linear Trend', 'Sine Wave', 'Cutoff Anomaly', 'Spike Anomaly']",A,"No, the anomaly is stationary (white noise)",3
51,A),A) Additive,A,A,True,52,57,binary,easy,Noise Understanding,Signal to Noise Ratio Understanding,"['Additive Composition', 'Multiplicative Composition', 'Gaussian White Noise']",A,Additive,2
52,A),"C) Yes, due to trend reversal",A,C,False,53,69,binary,hard,Anolmaly Detection,General Anomaly Detection,"['Stationarity', 'Linear Trend', 'Sine Wave', 'Cutoff Anomaly', 'Spike Anomaly']",C,"Yes, due to trend reversal",3
53,A),B) Exponential,A,B,False,54,1,multiple_choice,easy,Pattern Recognition,Trend Recognition,"['Linear Trend', 'Exponential Trend']",B,Exponential,3
54,A),A) Increase,A,A,True,55,18,multiple-choice,hard,Pattern Recognition,Cycle Recognition,"['Square Wave', 'Period']",A,Increase,3
55,A),A) No significant noise,A,A,True,56,62,multiple_choice,medium,Noise Understanding,Signal to Noise Ratio Understanding,"['Gaussian White Noise', 'Red Noise']",A,No significant noise,3
56,A),C) Change in variance in underlying distribution,A,C,False,57,71,multiple_choice,hard,Anolmaly Detection,General Anomaly Detection,"['Linear Trend', 'Gaussian White Noise', 'Sine Wave']",C,Change in variance in underlying distribution,3
57,A),A) Yes,A,A,True,58,34,binary,easy,Pattern Recognition,Stationarity Detection,"['Stationarity', 'Linear Trend', 'Exponential Trend']",A,Yes,2
58,A),A) 8.46,A,A,True,59,23,multiple-choice,easy,Pattern Recognition,Cycle Recognition,"['Sawtooth Wave', 'Amplitude']",A,8.46,3
59,A),A) Different,A,A,True,60,6,binary,easy,Pattern Recognition,Trend Recognition,['Piecewise Linear Trend'],A,Different,2
60,A),A) No,A,A,True,61,43,binary,easy,Pattern Recognition,First Two Moment Recognition,['Mean'],A,No,2
61,A),"A) No, they have different underlying distribution",A,A,True,62,95,binary,hard,Similarity Analysis,Distributional,"['Red Noise', 'AutoRegressive Process', 'Linear Trend']",A,"No, they have different underlying distribution",2
62,A),B) 1.84,A,B,False,63,24,multiple-choice,hard,Pattern Recognition,Cycle Recognition,"['Sine Wave', 'Square Wave', 'Amplitude']",B,1.84,3
63,A),B) No,A,B,False,64,31,binary,easy,Pattern Recognition,Stationarity Detection,['Stationarity'],B,No,2
64,A),B) No Pattern at all,A,B,False,65,15,multiple-choice,easy,Pattern Recognition,Cycle Recognition,"['Sine Wave', 'Square Wave', 'Sawtooth Wave']",B,No Pattern at all,4
65,A),B) Yes,A,B,False,66,37,binary,hard,Pattern Recognition,Stationarity Detection,"['Stationarity', 'Sine Wave', 'Linear Trend', 'Gaussian White Noise']",B,Yes,2
66,A),"C) No, time series 2 granger causes time series 1",A,C,False,67,101,binary,hard,Causality Analysis,Granger Causality,['Granger Causality'],C,"No, time series 2 granger causes time series 1",3
67,A),"A) No, they have different seasonable pattern",A,A,True,68,78,binary,easy,Similarity Analysis,Shape,"['Sine Wave', 'Square Wave']",A,"No, they have different seasonable pattern",2
68,A),A) No,A,A,True,69,32,binary,hard,Pattern Recognition,Stationarity Detection,['Stationarity'],A,No,2
69,A),A) Linear,A,A,True,70,8,multiple_choice,hard,Pattern Recognition,Trend Recognition,"['Linear Trend', 'Log Trend']",A,Linear,2
70,A),B) Multiplicative,A,B,False,71,59,binary,hard,Noise Understanding,Signal to Noise Ratio Understanding,"['Additive Composition', 'Multiplicative Composition', 'Gaussian White Noise']",B,Multiplicative,2
71,A),A) No,A,A,True,72,3,binary,easy,Pattern Recognition,Trend Recognition,"['Linear Trend', 'Exponential Trend', 'Log Trend']",A,No,2
72,A),A) Remain the same,A,A,True,73,19,multiple-choice,hard,Pattern Recognition,Cycle Recognition,"['Sine Wave', 'Square Wave', 'Amplitude']",A,Remain the same,3
73,A),C) No significant noise,A,C,False,74,62,multiple_choice,medium,Noise Understanding,Signal to Noise Ratio Understanding,"['Gaussian White Noise', 'Red Noise']",C,No significant noise,3
74,A),A) Remain the same,A,A,True,75,17,multiple-choice,hard,Pattern Recognition,Cycle Recognition,"['Sine Wave', 'Amplitude']",A,Remain the same,3
75,A),"B) No, they are not flipped versions",A,B,False,76,90,binary,hard,Similarity Analysis,Shape,['Linear Trend'],B,"No, they are not flipped versions",2
76,A),B) SquareWave,A,B,False,77,20,multiple-choice,hard,Pattern Recognition,Cycle Recognition,"['Sine Wave', 'Square Wave', 'Sawtooth Wave', 'Additive Composition', 'Amplitude']",B,SquareWave,3
77,A),B) No. They have different types of anomalies: cutoff and spikes,A,B,False,78,76,binary,hard,Anolmaly Detection,General Anomaly Detection,"['Cutoff Anomaly', 'Flip Anomaly', 'Spike Anomaly']",B,No. They have different types of anomalies: cutoff and spikes,2
78,A),"C) No, time series 1 has higher variance",A,C,False,79,93,multiple_choice,hard,Similarity Analysis,Distributional,"['Red Noise', 'Variance']",C,"No, time series 1 has higher variance",3
79,A),"A) Yes, due to trend reversal",A,A,True,80,69,binary,hard,Anolmaly Detection,General Anomaly Detection,"['Stationarity', 'Linear Trend', 'Sine Wave', 'Cutoff Anomaly', 'Spike Anomaly']",A,"Yes, due to trend reversal",3
80,A),B) Yes,A,B,False,81,31,binary,easy,Pattern Recognition,Stationarity Detection,['Stationarity'],B,Yes,2
81,A),B) Yes,A,B,False,82,97,multiple_choice,easy,Causality Analysis,Granger Causality,['Lagged Pair'],B,Yes,3
82,A),A) Noise dominated,A,A,True,83,13,multiple_choice,hard,Pattern Recognition,Trend Recognition,"['Linear Trend', 'Sine Wave', 'Gaussian White Noise']",A,Noise dominated,2
83,A),C) -16.81,A,C,False,84,41,multiple_choice,easy,Pattern Recognition,First Two Moment Recognition,['Mean'],C,-16.81,3
84,A),B) Time series 1 with cutoff anomaly and time series 2 with speed up/down anomaly,A,B,False,85,74,multiple_choice,hard,Anolmaly Detection,General Anomaly Detection,"['Cutoff Anomaly', 'Flip Anomaly', 'Speed Up/Down Anomaly']",B,Time series 1 with cutoff anomaly and time series 2 with speed up/down anomaly,3
85,A),A) Decrease,A,A,True,86,18,multiple-choice,hard,Pattern Recognition,Cycle Recognition,"['Square Wave', 'Period']",A,Decrease,3
86,A),"B) Yes, they are lagged versions",A,B,False,87,102,binary,hard,Causality Analysis,Granger Causality,['Lagged Pair'],B,"Yes, they are lagged versions",2
87,A),B) No,A,B,False,88,46,binary,easy,Pattern Recognition,AR/MA recognition,['Mean Reversion'],B,No,2
88,A),C) Time series 1 with flip anomaly and time series 2 with speed up/down anomaly,A,C,False,89,74,multiple_choice,hard,Anolmaly Detection,General Anomaly Detection,"['Cutoff Anomaly', 'Flip Anomaly', 'Speed Up/Down Anomaly']",C,Time series 1 with flip anomaly and time series 2 with speed up/down anomaly,3
89,A),"B) Yes, they are all Sine Wave",A,B,False,90,82,binary,hard,Similarity Analysis,Shape,"['Sine Wave', 'Sawtooth Wave']",B,"Yes, they are all Sine Wave",2
90,A),C) 0,A,C,False,91,2,multiple_choice,hard,Pattern Recognition,Trend Recognition,['Linear Trend'],C,0,3
91,A),B) Abrupt frequency change,A,B,False,92,71,multiple_choice,hard,Anolmaly Detection,General Anomaly Detection,"['Linear Trend', 'Gaussian White Noise', 'Sine Wave']",B,Abrupt frequency change,3
92,A),B) 14.66,A,B,False,93,2,multiple_choice,hard,Pattern Recognition,Trend Recognition,['Linear Trend'],B,14.66,3
93,A),B) Noise dominated,A,B,False,94,13,multiple_choice,hard,Pattern Recognition,Trend Recognition,"['Linear Trend', 'Sine Wave', 'Gaussian White Noise']",B,Noise dominated,2
94,A),A) Log,A,A,True,95,8,multiple_choice,hard,Pattern Recognition,Trend Recognition,"['Linear Trend', 'Log Trend']",A,Log,2
95,A),B) Time series 1 has higher slope,A,B,False,96,80,binary,easy,Similarity Analysis,Shape,"['Linear Trend', 'Exponential Trend', 'Sine Wave', 'Sawtooth Wave']",B,Time series 1 has higher slope,2
96,A),B) Remain the same,A,B,False,97,17,multiple-choice,hard,Pattern Recognition,Cycle Recognition,"['Sine Wave', 'Amplitude']",B,Remain the same,3
97,A),"A) No, they do not share similar pattern",A,A,True,98,86,binary,hard,Similarity Analysis,Shape,"['Sine Wave', 'Moving Average Process']",A,"No, they do not share similar pattern",3
98,A),C) Speedup: the period of cyclic components is different from other parts of the time series and Flip: the pattern is flipped at certain point in time,A,C,False,99,68,multiple_choice,hard,Anolmaly Detection,General Anomaly Detection,"['Cutoff Anomaly', 'Flip Anomaly', 'Speed Up/Down Anomaly']",C,Speedup: the period of cyclic components is different from other parts of the time series and Flip: the pattern is flipped at certain point in time,3
99,A),A) Exponential,A,A,True,100,1,multiple_choice,easy,Pattern Recognition,Trend Recognition,"['Linear Trend', 'Exponential Trend']",A,Exponential,3
100,A),A) 4,A,A,True,101,40,multiple_choice,hard,Pattern Recognition,Regime Switching Detection,['Regime Switching'],A,4,3
101,A),A) Exponential,A,A,True,102,14,multiple_choice,medium,Pattern Recognition,Trend Recognition,"['Linear Trend', 'Exponential Trend']",A,Exponential,3
102,A),A) Decrease,A,A,True,103,18,multiple-choice,hard,Pattern Recognition,Cycle Recognition,"['Square Wave', 'Period']",A,Decrease,3
103,A),C) Spike: the pattern of time series is distorted by random large spikes,A,C,False,104,64,multiple_choice,hard,Anolmaly Detection,General Anomaly Detection,"['Spike Anomaly', 'Flip Anomaly', 'Speed Up/Down Anomaly']",C,Spike: the pattern of time series is distorted by random large spikes,3
104,A),B) Yes,A,B,False,105,43,binary,easy,Pattern Recognition,First Two Moment Recognition,['Mean'],B,Yes,2
105,A),A) Upward,A,A,True,106,4,multiple_choice,easy,Pattern Recognition,Trend Recognition,['Linear Trend'],A,Upward,3
106,A),B) 12.27,A,B,False,107,2,multiple_choice,hard,Pattern Recognition,Trend Recognition,['Linear Trend'],B,12.27,3
107,A),A) Downward,A,A,True,108,4,multiple_choice,easy,Pattern Recognition,Trend Recognition,['Linear Trend'],A,Downward,3
108,A),"B) No, time series 1 has linear trend and time series 2 has exponential trend",A,B,False,109,85,multiple_choice,hard,Similarity Analysis,Shape,"['Linear Trend', 'Exponential Trend', 'Log Trend']",B,"No, time series 1 has linear trend and time series 2 has exponential trend",3
109,A),B) 1,A,B,False,110,40,multiple_choice,hard,Pattern Recognition,Regime Switching Detection,['Regime Switching'],B,1,3
110,A),B) Decrease,A,B,False,111,19,multiple-choice,hard,Pattern Recognition,Cycle Recognition,"['Sine Wave', 'Square Wave', 'Amplitude']",B,Decrease,3
111,A),B) Additive,A,B,False,112,57,binary,easy,Noise Understanding,Signal to Noise Ratio Understanding,"['Additive Composition', 'Multiplicative Composition', 'Gaussian White Noise']",B,Additive,2
112,A),B) 36.94,A,B,False,113,25,multiple-choice,hard,Pattern Recognition,Cycle Recognition,"['Sawtooth Wave', 'Square Wave', 'Period']",B,36.94,3
113,A),A) 6.63,A,A,True,114,24,multiple-choice,hard,Pattern Recognition,Cycle Recognition,"['Sine Wave', 'Square Wave', 'Amplitude']",A,6.63,3
114,A),A) SineWave + SquareWave,A,A,True,115,16,multiple-choice,hard,Pattern Recognition,Cycle Recognition,"['Sine Wave', 'Square Wave', 'Sawtooth Wave', 'Additive Composition']",A,SineWave + SquareWave,3
115,A),"C) Yes, it's pattern is flipped at certain point in time",A,C,False,116,63,binary,easy,Anolmaly Detection,General Anomaly Detection,"['Flip Anomaly', 'Spike Anomaly']",C,"Yes, it's pattern is flipped at certain point in time",3
116,A),B) 58.28,A,B,False,117,25,multiple-choice,hard,Pattern Recognition,Cycle Recognition,"['Sawtooth Wave', 'Square Wave', 'Period']",B,58.28,3
117,A),B) No trend and sawtooth wave,A,B,False,118,26,multiple-choice,hard,Pattern Recognition,Cycle Recognition,"['Linear Trend', 'Exponential Trend', 'Sine Wave', 'Sawtooth Wave', 'Additive Composition']",B,No trend and sawtooth wave,3
118,A),"B) Yes, Time series 1 and time series 2 both have cutoff anomaly",A,B,False,119,75,binary,hard,Anolmaly Detection,General Anomaly Detection,"['Cutoff Anomaly', 'Spike Anomaly']",B,"Yes, Time series 1 and time series 2 both have cutoff anomaly",2
119,A),"A) Yes, Time series 1 and time series 2 both have flip anomaly",A,A,True,120,76,binary,hard,Anolmaly Detection,General Anomaly Detection,"['Cutoff Anomaly', 'Flip Anomaly', 'Spike Anomaly']",A,"Yes, Time series 1 and time series 2 both have flip anomaly",2
120,A),A) 2,A,A,True,121,5,multiple_choice,hard,Pattern Recognition,Trend Recognition,['Piecewise Linear Trend'],A,2,3
121,A),A) Time series 1 has higher amplitude,A,A,True,122,83,binary,easy,Similarity Analysis,Shape,"['Sine Wave', 'Square Wave', 'Amplitude']",A,Time series 1 has higher amplitude,2
122,A),A) 15.76,A,A,True,123,23,multiple-choice,easy,Pattern Recognition,Cycle Recognition,"['Sawtooth Wave', 'Amplitude']",A,15.76,3
123,A),A) SawtoothWave,A,A,True,124,20,multiple-choice,hard,Pattern Recognition,Cycle Recognition,"['Sine Wave', 'Square Wave', 'Sawtooth Wave', 'Additive Composition', 'Amplitude']",A,SawtoothWave,3
124,A),A) No,A,A,True,125,32,binary,hard,Pattern Recognition,Stationarity Detection,['Stationarity'],A,No,2
125,A),C) Increase,A,C,False,126,17,multiple-choice,hard,Pattern Recognition,Cycle Recognition,"['Sine Wave', 'Amplitude']",C,Increase,3
126,A),A) Multiplicative,A,A,True,127,11,multiple_choice,easy,Pattern Recognition,Trend Recognition,"['Linear Trend', 'Sine Wave', 'Additive Composition', 'Multiplicative Composition']",A,Multiplicative,2
127,A),A) Additive,A,A,True,128,11,multiple_choice,easy,Pattern Recognition,Trend Recognition,"['Linear Trend', 'Sine Wave', 'Additive Composition', 'Multiplicative Composition']",A,Additive,2
128,A),"B) Yes, they are flipped versions",A,B,False,129,90,binary,hard,Similarity Analysis,Shape,['Linear Trend'],B,"Yes, they are flipped versions",2
129,A),C) Speedup: the period of cyclic components is different from other parts of the time series and Cutoff: the pattern of time series disappeared for certain point in time and became flat,A,C,False,130,68,multiple_choice,hard,Anolmaly Detection,General Anomaly Detection,"['Cutoff Anomaly', 'Flip Anomaly', 'Speed Up/Down Anomaly']",C,Speedup: the period of cyclic components is different from other parts of the time series and Cutoff: the pattern of time series disappeared for certain point in time and became flat,3
130,A),B) Same,A,B,False,131,6,binary,easy,Pattern Recognition,Trend Recognition,['Piecewise Linear Trend'],B,Same,2
131,A),"B) No, the mean is different overtime",A,B,False,132,33,multiple_choice,hard,Pattern Recognition,Stationarity Detection,['Stationarity'],B,"No, the mean is different overtime",3
132,A),C) 14.52,A,C,False,133,51,multiple_choice,easy,Noise Understanding,White Noise Recognition,['Gaussian White Noise'],C,14.52,3
133,A),B) Speed up/down: the period of cyclic components is different from other parts of the time series,A,B,False,134,64,multiple_choice,hard,Anolmaly Detection,General Anomaly Detection,"['Spike Anomaly', 'Flip Anomaly', 'Speed Up/Down Anomaly']",B,Speed up/down: the period of cyclic components is different from other parts of the time series,3
134,A),A) No,A,A,True,135,37,binary,hard,Pattern Recognition,Stationarity Detection,"['Stationarity', 'Sine Wave', 'Linear Trend', 'Gaussian White Noise']",A,No,2
135,A),C) Red Noise,A,C,False,136,62,multiple_choice,medium,Noise Understanding,Signal to Noise Ratio Understanding,"['Gaussian White Noise', 'Red Noise']",C,Red Noise,3
136,A),"B) No, they are not granger causal",A,B,False,137,101,binary,hard,Causality Analysis,Granger Causality,['Granger Causality'],B,"No, they are not granger causal",3
137,A),B) Time series 2 has higher period,A,B,False,138,84,binary,hard,Similarity Analysis,Shape,"['Sine Wave', 'Square Wave', 'Period']",B,Time series 2 has higher period,2
138,A),A) Linear,A,A,True,139,8,multiple_choice,hard,Pattern Recognition,Trend Recognition,"['Linear Trend', 'Log Trend']",A,Linear,2
139,A),A) 1.5,A,A,True,140,54,multiple_choice,hard,Noise Understanding,Red Noise Recognition,['Red Noise'],A,1.5,2
140,A),B) Speedup: the period of cyclic components is different from other parts of the time series and Flip: the pattern is flipped at certain point in time,A,B,False,141,68,multiple_choice,hard,Anolmaly Detection,General Anomaly Detection,"['Cutoff Anomaly', 'Flip Anomaly', 'Speed Up/Down Anomaly']",B,Speedup: the period of cyclic components is different from other parts of the time series and Flip: the pattern is flipped at certain point in time,3
141,A),B) Time series 1,A,B,False,142,61,multiple_choice,hard,Noise Understanding,Signal to Noise Ratio Understanding,"['AutoRegressive Process', 'Variance']",B,Time series 1,2
142,A),A) No Trend,A,A,True,143,4,multiple_choice,easy,Pattern Recognition,Trend Recognition,['Linear Trend'],A,No Trend,3
143,A),A) No,A,A,True,144,55,binary,easy,Noise Understanding,Signal to Noise Ratio Understanding,['Gaussian White Noise'],A,No,2
144,A),B) No,A,B,False,145,50,binary,easy,Noise Understanding,White Noise Recognition,['Gaussian White Noise'],B,No,2
145,A),B) Time series 1 has higher amplitude,A,B,False,146,83,binary,easy,Similarity Analysis,Shape,"['Sine Wave', 'Square Wave', 'Amplitude']",B,Time series 1 has higher amplitude,2
146,A),B) Period decrease over time,A,B,False,147,29,multiple-choice,hard,Pattern Recognition,Cycle Recognition,"['Sine Wave', 'Period']",B,Period decrease over time,3
147,A),"A) No, time series 2 is a lagged version of time series 1",A,A,True,148,97,multiple_choice,easy,Causality Analysis,Granger Causality,['Lagged Pair'],A,"No, time series 2 is a lagged version of time series 1",3
148,A),C) Lagging step is between 5 to 10,A,C,False,149,98,multiple_choice,easy,Causality Analysis,Granger Causality,['Lagged Pair'],C,Lagging step is between 5 to 10,3
149,A),B) 10.1,A,B,False,150,51,multiple_choice,easy,Noise Understanding,White Noise Recognition,['Gaussian White Noise'],B,10.1,3
150,A),B) No autocorrelation,A,B,False,151,45,multiple_choice,easy,Pattern Recognition,AR/MA recognition,['Autocorrelation'],B,No autocorrelation,3
151,A),A) Time series 1 has higher period,A,A,True,152,84,binary,hard,Similarity Analysis,Shape,"['Sine Wave', 'Square Wave', 'Period']",A,Time series 1 has higher period,2
152,A),C) Linear,A,C,False,153,14,multiple_choice,medium,Pattern Recognition,Trend Recognition,"['Linear Trend', 'Exponential Trend']",C,Linear,3
153,A),B) Time series 1 with flip anomaly and time series 2 with speed up/down anomaly,A,B,False,154,74,multiple_choice,hard,Anolmaly Detection,General Anomaly Detection,"['Cutoff Anomaly', 'Flip Anomaly', 'Speed Up/Down Anomaly']",B,Time series 1 with flip anomaly and time series 2 with speed up/down anomaly,3
154,A),B) Remain the same,A,B,False,155,17,multiple-choice,hard,Pattern Recognition,Cycle Recognition,"['Sine Wave', 'Amplitude']",B,Remain the same,3
